epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,1440.43,1.70386,0.81652,1.56393,0.90217,0.92222,0.94528,0.40736,1.95024,0.80642,1.7988,0.0009572,0.0009572,0.0009572
160,1451.26,1.73383,0.85106,1.55215,0.88235,0.92648,0.96155,0.50387,1.66269,0.78134,1.62565,0.0009506,0.0009506,0.0009506
161,1462.27,1.67396,0.8055,1.53633,0.91545,0.87647,0.96024,0.47742,1.71436,0.76443,1.65758,0.000944,0.000944,0.000944
162,1472.17,1.71861,0.80405,1.55972,0.93916,0.87647,0.95524,0.47728,1.73037,0.75602,1.65309,0.0009374,0.0009374,0.0009374
163,1481.99,1.72,0.81867,1.5483,0.93969,0.88235,0.96046,0.48209,1.69445,0.80579,1.62317,0.0009308,0.0009308,0.0009308
164,1488.98,1.72158,0.82242,1.55875,0.9617,0.88619,0.96976,0.44523,1.80808,0.79191,1.76038,0.0009242,0.0009242,0.0009242
165,1495.25,1.74088,0.81133,1.59337,0.97015,0.85882,0.9637,0.48016,1.72015,0.77004,1.67413,0.0009176,0.0009176,0.0009176
166,1503.42,1.7224,0.80959,1.51302,0.95505,0.87485,0.95592,0.45146,1.83595,0.82787,1.68135,0.000911,0.000911,0.000911
167,1510.04,1.70437,0.84014,1.51803,0.96776,0.88277,0.95833,0.45037,1.75854,0.79981,1.67782,0.0009044,0.0009044,0.0009044
168,1517.41,1.68985,0.80561,1.52196,0.96153,0.88208,0.96112,0.46611,1.74474,0.78489,1.67579,0.0008978,0.0008978,0.0008978
169,1525.22,1.68188,0.79617,1.50138,0.97404,0.9,0.96972,0.49353,1.69201,0.75016,1.65756,0.0008912,0.0008912,0.0008912
170,1534.91,1.66634,0.78595,1.53377,0.95505,0.9,0.96438,0.47766,1.75383,0.74511,1.71608,0.0008846,0.0008846,0.0008846
171,1543.83,1.6151,0.77163,1.53435,0.94804,0.9,0.96888,0.48493,1.70931,0.72709,1.65802,0.000878,0.000878,0.000878
172,1553.54,1.64246,0.77378,1.49719,0.96586,0.87059,0.95353,0.48947,1.71299,0.76129,1.6684,0.0008714,0.0008714,0.0008714
173,1561.6,1.60987,0.77402,1.49081,0.96732,0.87053,0.96118,0.49765,1.68658,0.71828,1.64829,0.0008648,0.0008648,0.0008648
174,1568.58,1.61458,0.76324,1.48523,0.96737,0.87207,0.95475,0.47791,1.74687,0.74051,1.65945,0.0008582,0.0008582,0.0008582
175,1576.07,1.68309,0.7749,1.5043,0.93326,0.90475,0.95608,0.43057,1.88219,0.78302,1.77726,0.0008516,0.0008516,0.0008516
176,1585.05,1.68444,0.78811,1.50144,0.93878,0.91176,0.96195,0.48497,1.73649,0.74893,1.68563,0.000845,0.000845,0.000845
177,1594.62,1.61628,0.76542,1.49395,0.93914,0.92353,0.95878,0.45464,1.81422,0.72343,1.77805,0.0008384,0.0008384,0.0008384
178,1601.63,1.64219,0.77286,1.49608,0.9347,0.88235,0.9641,0.48178,1.72578,0.78703,1.66437,0.0008318,0.0008318,0.0008318
179,1608.88,1.61428,0.76655,1.48609,0.9378,0.91176,0.96582,0.48063,1.71826,0.75338,1.66849,0.0008252,0.0008252,0.0008252
180,1616.61,1.59108,0.76119,1.48215,0.92491,0.86943,0.95499,0.48461,1.68278,0.76879,1.62141,0.0008186,0.0008186,0.0008186
181,1626.89,1.6574,0.79751,1.51856,0.91857,0.88824,0.963,0.47877,1.69426,0.78094,1.64978,0.000812,0.000812,0.000812
182,1635.48,1.64374,0.76758,1.49817,0.94488,0.92353,0.9656,0.46078,1.79218,0.7581,1.74676,0.0008054,0.0008054,0.0008054
183,1645.02,1.67413,0.78055,1.52585,0.93786,0.88779,0.9607,0.49949,1.65104,0.74429,1.65875,0.0007988,0.0007988,0.0007988
184,1655,1.68471,0.80465,1.50049,0.9592,0.87647,0.96154,0.47117,1.757,0.76639,1.68926,0.0007922,0.0007922,0.0007922
